Region,Category,Product Name,Quantity,profit margin,profit per unit 
West,Technology,Adtran 1202752G1,4,50,11.995
East,Office Supplies,OIC Bulk Pack Metal Binder Clips,2,30,8.397
East,Office Supplies,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",2,30,12.897
East,Office Supplies,Ibico Standard Transparent Covers,9,30,3.297
East,Furniture,"Executive Impressions 14"" Two-Color Numerals Wall Clock",2,50,5.995
East,Technology,Swingline SM12-08 MicroCut Jam Free Shredder,5,30,7.497
East,Office Supplies,Stanley Bostitch Contemporary Electric Pencil Sharpeners,6,30,9.297
Central,Office Supplies,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",1,25,5.2475
Central,Furniture,Bevis 36 x 72 Conference Tables,4,50,8.995
Central,Office Supplies,Rogers Deluxe File Chest,3,60,21.594
South,Furniture,Global Low Back Tilter Chair,1,40,9.596
South,Furniture,"Global Push Button Manager's Chair, Indigo",4,25,6.4975
South,Office Supplies,GBC Instant Index System for Binding Systems,2,20,4.798
South,Furniture,Bush Advantage Collection Round Conference Table,4,50,11.995
South,Furniture,Bretford Rectangular Conference Table Tops,6,25,5.2475
South,Office Supplies,GBC Instant Index System for Binding Systems,2,50,8.495
South,Furniture,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",2,60,19.794
South,Technology,Logitech P710e Mobile Speakerphone,1,20,4.998
West,Office Supplies,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),1,50,8.495
Central,Office Supplies,Xerox 1957,4,30,5.997
Central,Furniture,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,3,50,8.495
Central,Furniture,Staple-based wall hangings,6,25,5.2475
Central,Technology,PureGear Roll-On Screen Protector,2,30,10.497
Central,Furniture,KI Conference Tables,3,30,4.497
Central,Furniture,Eldon 100 Class Desk Accessories,6,40,9.996
Central,Office Supplies,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",2,50,12.995
Central,Furniture,Global Deluxe High-Back Manager's Chair,2,30,9.297
Central,Office Supplies,Safco Steel Mobile File Cart,2,30,5.997
Central,Office Supplies,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",1,40,29.996
Central,Office Supplies,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,3,50,21.495
Central,Office Supplies,Xerox 205,3,50,6.995
West,Furniture,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",3,40,4.796
West,Office Supplies,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",2,25,4.4975
West,Technology,Logitech P710e Mobile Speakerphone,5,40,9.596
East,Office Supplies,"Fellowes Personal Hanging Folder Files, Navy",5,50,8.995
East,Office Supplies,Tyvek Side-Opening Peel & Seel Expanding Envelopes,2,40,9.996
Central,Furniture,Eldon 100 Class Desk Accessories,5,60,5.394
Central,Office Supplies,"Belkin 19"" Vented Equipment Shelf, Black",2,50,11.995
Central,Office Supplies,"Tenex Personal Project File with Scoop Front Design, Black",7,25,5.2475
Central,Technology,Logitech Mobile Speakerphone P710e - speaker phone,1,40,9.596
East,Technology,Sabrent 4-Port USB 2.0 Hub,2,30,5.997
East,Office Supplies,Safco Industrial Shelving,2,50,6.995
East,Office Supplies,Acco 3-Hole Punch,2,50,11.995
Central,Office Supplies,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,5,30,10.497
Central,Technology,Lexmark MX611dhe Monochrome Laser Printer,3,20,4.798
Central,Technology,Xerox WorkCentre 6505DN Laser Multifunction Printer,6,50,5.995
Central,Technology,Cisco Small Business SPA 502G VoIP phone,3,40,9.596
West,Technology,Microsoft Sculpt Comfort Mouse,3,30,8.397
South,Office Supplies,"Quartet Omega Colored Chalk, 12/Pack",2,50,8.495
East,Office Supplies,Bagged Rubber Bands,2,30,7.497
East,Office Supplies,Safco Commercial Shelving,8,30,3.297
East,Office Supplies,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",5,50,7.995
West,Office Supplies,Adjustable Depth Letter/Legal Cart,1,40,29.996
West,Technology,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,2,60,26.994
West,Furniture,Regeneration Desk Collection,5,25,5.4975
West,Office Supplies,Presstex Flexible Ring Binders,2,50,11.995
West,Office Supplies,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",3,60,26.994
West,Office Supplies,Newell 330,2,40,9.596
East,Office Supplies,"Post-it “Important Message” Note Pad, Neon Colors, 50 Sheets/Pad",2,60,19.794
East,Office Supplies,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",3,40,9.996
East,Office Supplies,Eldon Simplefile Box Office,2,40,9.996
East,Office Supplies,Avery 489,9,50,11.995
Central,Office Supplies,Round Ring Binders,2,30,5.997
Central,Technology,Bose SoundLink Bluetooth Speaker,6,30,5.997
West,Furniture,"Bevis Round Bullnose 29"" High Table Top",4,30,8.697
West,Office Supplies,Easy-staple paper,3,50,12.995
West,Technology,Microsoft Arc Touch Mouse,1,50,7.995
West,Office Supplies,Xerox 216,3,25,6.4975
South,Office Supplies,GBC VeloBinder Electric Binding Machine,1,30,13.797
South,Office Supplies,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",3,40,6.396
South,Office Supplies,Premier Automatic Letter Opener,7,50,8.495
East,Office Supplies,Advantus SlideClip Paper Clips,6,30,5.997
East,Office Supplies,Avery 512,1,25,6.4975
East,Technology,Logitech Wireless Gaming Headset G930,5,50,11.995
East,Furniture,"Bush Westfield Collection Bookcases, Medium Cherry Finish",2,50,5.995
West,Furniture,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",5,40,9.596
West,Furniture,Global Deluxe Office Fabric Chairs,5,20,4.998
West,Furniture,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,4,40,6.396
West,Office Supplies,Ibico Laser Imprintable Binding System Covers,6,50,11.995
West,Office Supplies,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",3,40,9.996
East,Office Supplies,Xerox 223,5,40,9.996
East,Office Supplies,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",6,30,10.497
East,Office Supplies,Xerox 1939,3,60,26.994
East,Furniture,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",1,20,7.198
East,Office Supplies,Avery Premier Heavy-Duty Binder with Round Locking Rings,1,40,9.596
Central,Furniture,BPI Conference Tables,3,40,9.596
East,Furniture,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,2,40,30.796
Central,Office Supplies,Newell 350,4,50,12.995
East,Office Supplies,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",3,50,11.995
East,Office Supplies,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,6,30,13.797
South,Office Supplies,Faber Castell Col-Erase Pencils,7,40,9.996
West,Furniture,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,2,30,8.397
West,Furniture,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,6,30,9.297
West,Furniture,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",3,30,3.297
West,Office Supplies,Avery 509,4,20,7.198
East,Furniture,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",2,50,8.495
South,Technology,AT&T 1070 Corded Phone,3,40,6.396
South,Office Supplies,Xerox 21,3,40,9.996
East,Office Supplies,"Boston School Pro Electric Pencil Sharpener, 1670",6,20,4.998
East,Furniture,DMI Arturo Collection Mission-style Design Wood Chair,2,20,7.198
East,Technology,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,4,50,8.495
East,Technology,Panasonic Kx-TS550,7,40,9.596
East,Technology,NETGEAR N750 Dual Band Wi-Fi Gigabit Router,2,60,21.594
East,Office Supplies,"Trav-L-File Heavy-Duty Shuttle II, Black",6,25,6.4975
West,Office Supplies,OIC Binder Clips,4,50,11.995
West,Office Supplies,Ibico Laser Imprintable Binding System Covers,3,30,9.297
West,Technology,Logitech Wireless Headset h800,5,20,7.198
South,Furniture,Telescoping Adjustable Floor Lamp,4,30,3.297
East,Technology,Aastra 57i VoIP phone,3,50,8.495
East,Office Supplies,"File Shuttle II and Handi-File, Black",5,50,8.495
East,Furniture,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,5,60,26.994
East,Office Supplies,Round Specialty Laser Printer Labels,7,50,12.995
East,Office Supplies,GBC Premium Transparent Covers with Diagonal Lined Pattern,3,40,9.996
East,Technology,AT&T 841000 Phone,4,25,6.9975
East,Office Supplies,Ibico Recycled Grain-Textured Covers,2,30,9.297
East,Office Supplies,Wilson Jones Custom Binder Spines & Labels,2,30,8.397
West,Office Supplies,Storex Dura Pro Binders,2,30,7.497
West,Technology,Hewlett Packard LaserJet 3310 Copier,3,60,19.794
West,Office Supplies,Avery Non-Stick Binders,2,60,5.394
West,Office Supplies,Tuff Stuff Recycled Round Ring Binders,3,60,19.794
West,Furniture,Hon 5100 Series Wood Tables,8,25,5.4975
West,Office Supplies,"OIC Binder Clips, Mini, 1/4"" Capacity, Black",4,30,10.497
East,Office Supplies,Newell 314,2,30,7.497
East,Office Supplies,Fellowes PB200 Plastic Comb Binding Machine,3,50,12.995
East,Office Supplies,Staples,3,50,11.995
East,Technology,"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White",1,30,10.497
Central,Office Supplies,Fellowes Super Stor/Drawer,4,40,9.596
West,Technology,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,7,20,4.798
East,Office Supplies,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",2,40,9.996
East,Office Supplies,Easy-staple paper,3,40,9.596
East,Office Supplies,"BIC Brite Liner Highlighters, Chisel Tip",4,30,10.497
East,Technology,Sabrent 4-Port USB 2.0 Hub,2,50,21.495
East,Office Supplies,Xerox 1881,5,40,6.396
East,Office Supplies,Acco Hanging Data Binders,2,60,26.994
East,Office Supplies,Xerox 1881,4,40,9.996
East,Office Supplies,GBC DocuBind P400 Electric Binding System,5,30,7.497
East,Furniture,Sauder Barrister Bookcases,4,30,7.497
East,Office Supplies,"#10 Gummed Flap White Envelopes, 100/Box",5,30,8.697
East,Office Supplies,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",2,30,9.297
East,Office Supplies,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",3,40,9.996
South,Office Supplies,Southworth 25% Cotton Linen-Finish Paper & Envelopes,1,30,9.297
South,Office Supplies,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,3,50,5.995
